path,total_conversions,total_conversion_value,total_null
Email > Display > Paid Social > Affiliate,1,5.596,2
Display > Push Notifications > Display > Display > Display > Push Notifications > Display > Affiliate,1,1.1,2
Display > Display > Display > Display > Display > Push Notifications,1,7.594,3
Push Notifications,8,7.017777778,30
Push Notifications > Push Notifications > Email > Paid Social,1,3.465,3
Email > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search,2,9.686,5
Paid Search > Display > Paid Social > Push Notifications,1,5.492,2
Display > Push Notifications > Paid Social,1,5.55,2
Paid Social > Display > Display > Display > Paid Social > Display > Email > Email > Paid Search > Email > Email > Display > Email > Display > Display > Push Notifications > Email > Email > Display > Email > Email > Email,1,3.971,2
Paid Search > Paid Social > Paid Social > Affiliate,2,11.34,5
Paid Search > Paid Search,1,1.355,3
Paid Social > Paid Social > Paid Social > Paid Social > Paid Search > Affiliate > SMS > Paid Social > Paid Social,1,1.49,3
Push Notifications > Push Notifications > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications > Push Notifications,1,7.77,3
Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,2,2.96,5
Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Email > Paid Search > Email > Paid Search > Videos > Affiliate,1,2.465,2
Push Notifications > Display > Push Notifications > Display > Push Notifications,1,3.325,2
Push Notifications,1,5.161,3
Push Notifications > Push Notifications > Paid Social > Push Notifications > Push Notifications > Paid Social,0,0,2
Display > Display > Display > Paid Social,1,2.54,3
Paid Search > Push Notifications,3,15.55,9
Display > Push Notifications > Push Notifications,1,11.9,3
Display > Display > Display > Display > Display > Push Notifications,1,3.368,2
Direct Mail > Paid Search,1,1.717,3
Push Notifications > Email > Paid Social > Paid Social > Email,1,3.7,3
Display > Affiliate > Email > Affiliate,1,5.293,3
Display > Push Notifications,7,27.839,28
Push Notifications > Affiliate,1,2.52,2
Display > Push Notifications > Display > Push Notifications > Push Notifications > Paid Social,1,6.088,3
Display > Email > Display > Display > Push Notifications > Paid Social > Display > Display,1,2.235,2
Display > Internal Campaign > Internal Campaign > Internal Campaign > Internal Campaign > Display,0,0,3
Email > Display > Push Notifications > Display > Direct Mail,1,2.417,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Social > Paid Search > Paid Social > Paid Social,1,2.35,6
Videos > Email > Videos > Videos > Email > Videos > Videos > Email > Paid Social > Email > Paid Social > Videos > Email > Videos,1,7.476,3
Display,1,2.9,2
Display > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social,1,4.77,2
Push Notifications > Push Notifications,1,3.693,3
Paid Search > Paid Search > Paid Social,0,0,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications,0,0,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,2.6,2
Push Notifications > Display,1,8,3
Paid Search > Push Notifications > Push Notifications > Push Notifications > Paid Social,1,2.678,3
Email > Email > Push Notifications > Email > Display > Email > Push Notifications > Display > Paid Search > Email > Display > Display > Paid Social,1,0.7,2
Push Notifications > Paid Social > Paid Social > Paid Search > Paid Search > Push Notifications > Paid Social > Paid Social,1,1.88,2
Display > Display,1,11.3,3
Push Notifications > Paid Search > Push Notifications,0,0,3
Paid Search > Push Notifications,1,3.126,3
Push Notifications > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Videos > Videos > Paid Search > Affiliate > Paid Social,1,7.983,3
Direct Mail > Email,2,15.341,5
Videos > Email > Email > Display > Email,1,3.41,5
Display > Push Notifications,5,13.582,14
Paid Search > Videos > Videos > Videos,1,4.1,2
Display > Display > Display > Display > Display > Push Notifications > Display,1,5.63,2
Push Notifications > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Videos > Videos,0,0,3
Push Notifications > Affiliate > Push Notifications > Paid Search > Display > Videos,1,2.945,3
Videos > Email > Videos,1,3.8,3
Paid Search > Paid Search > Display,1,3.355,3
Paid Search > Paid Search > Paid Search,1,7.636,3
Paid Search > Push Notifications,1,4.237,3
Paid Search > Push Notifications,1,2.17,3
Paid Search > Paid Search > Paid Search > Paid Social > Paid Social,1,1.802,3
Paid Search > Push Notifications > Paid Search > Push Notifications > Paid Search > Display > Paid Search > Push Notifications > Paid Search,1,2.687,3
Paid Search > Internal Campaign,1,2.119,2
Direct Mail > Affiliate,1,3.565,2
Paid Search > Paid Search > Paid Search > Paid Search,1,3.486,2
Videos > Paid Search > Paid Search > Paid Search > Email > Email > Paid Search > Videos,1,1.16,3
Paid Search > Paid Search > Paid Search,1,6.167,3
Affiliate > Paid Search > Paid Search > Affiliate,1,2.155,3
Display > Display > Display > Push Notifications > Display > Display > Push Notifications > Display > Paid Social > Push Notifications,0,0,2
Display > Display > Videos,1,5.209,3
Display > Display > Display > Paid Search > Paid Search > Paid Search > Affiliate,1,5.88,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,2,8.074,5
Push Notifications > Paid Search,1,1.483,2
Display > SMS > Display > Push Notifications > Display > Push Notifications > Display > Push Notifications > Display > Push Notifications > Display > Push Notifications > Display > Affiliate > Paid Social,1,14.94,2
Paid Search > Display > Push Notifications > Display > Paid Search > Paid Search > Paid Search > Paid Search,0,0,2
Direct Mail,7,21.15575,22
Display > Push Notifications,1,7.034,2
Paid Search > SMS > Email > Paid Social > Paid Social > Paid Social > Paid Search > Paid Search > Paid Social > Affiliate,1,6.17,3
Push Notifications,0,0,3
Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Affiliate > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Search > Paid Social > Paid Social > Videos > Paid Search > Affiliate > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Email > Paid Social,1,3.062,2
Push Notifications,1,3.094,3
Email > Push Notifications > Paid Search > Paid Social,1,4.55,3
Email > Display > Push Notifications > Push Notifications,0,0,2
Push Notifications,3,75.3885,11
Display > Display > Display > Paid Search > Paid Search > Display > Email > Paid Social > Display > Paid Search > Display > Email > Paid Search > Paid Search > Display > Email > Display > Email > Paid Search > Display > Email > Paid Search > Paid Search > Paid Search > Email > Internal Campaign > Paid Search > Paid Search > Paid Search > Paid Search > Internal Campaign > Display > Paid Search > Email > Paid Search > Internal Campaign > Internal Campaign > Internal Campaign,0,0,2
Email > Paid Social > Email > Display > Paid Social > Paid Social > Paid Social > Email > Paid Social > Display > Paid Social > Email,1,18.046,3
Push Notifications > Affiliate,1,2.021,3
Email > Email > Display > Email > Paid Social > Email > Email > Paid Social > Email > Display > Display > Display > Email > Push Notifications > Paid Social > Display > Email > Paid Social > Paid Social > Display > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Email > Display > Email > Email > Push Notifications > Email > Display > Push Notifications,1,4.274,2
Internal Campaign > Display,1,1.82,3
Push Notifications > Push Notifications > Display > Push Notifications > Paid Search,1,1.86,2
Push Notifications > Push Notifications > Push Notifications,1,6.85,3
Paid Search > Push Notifications,1,4.49,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Social,1,7.032,3
Push Notifications > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Affiliate > Paid Search > Paid Search > Paid Search > Paid Search > SMS > Push Notifications > Affiliate > SMS > Paid Search > Push Notifications > Paid Search > Affiliate > SMS > Paid Search > Affiliate > Paid Search > Paid Search > Paid Search > Paid Search,1,2.117,3
Videos > Videos > Paid Social > Paid Social > Videos > Affiliate,2,10.153,5
Display > Display > Push Notifications,1,8.716,2
Paid Search > Paid Search > Display > Push Notifications > Paid Search,1,2.571,3
Email > Paid Social > Videos > Email > Paid Search > Push Notifications,1,8.639,3
Display > Paid Social > Paid Social > Paid Social > Push Notifications > Paid Social,1,3,2
Paid Social > Paid Social > Paid Search > Paid Search > Paid Search,1,1.34,2
Push Notifications > Paid Search,1,2.283,2
Paid Search > Paid Search > Paid Search > Paid Social,1,1.4,2
Push Notifications,1,5.648,3
Push Notifications > Paid Search > Paid Social > Email > Paid Search,1,3.4,3
Display,1,3.142,3
Email > Paid Search > Email > Paid Social > Paid Social > Paid Social,1,4.14,2
Display > Display > Email > Display > Internal Campaign,1,6.6,3
Email > Push Notifications > Affiliate,0,0,3
Affiliate > Affiliate > Affiliate > Affiliate > Affiliate,1,2.468,2
Paid Social > Paid Social > Paid Search > Paid Social > Paid Social > Paid Social > Paid Social,0,0,2
Display > Display > Push Notifications > Affiliate,1,3.794,2
Paid Search > Display > Email > Paid Social > Paid Social > Paid Social,1,2.711,3
Paid Search > Display > Paid Search > Paid Search > Paid Search > Paid Search > Display,1,0.414,2
Push Notifications > Paid Social > Videos > Push Notifications,1,9.334,2
Paid Search > Paid Social > Paid Social > Paid Search > Paid Social > Paid Search > Paid Social,1,2.73,2
Display > Display > Paid Search > Email > Paid Search > Paid Search > Display > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Display > Push Notifications > Paid Search > Push Notifications > Videos > Paid Search > Display > Paid Social > Display > Push Notifications > Push Notifications > Videos,0,0,3
Display > Push Notifications > Paid Social > Paid Social > Paid Social > Videos > Email > Push Notifications > Paid Social > Push Notifications,1,5.24,3
Display > Display > Display > Display > Paid Search > Affiliate > Email > Display > Push Notifications,1,10.794,2
Display > Push Notifications > Display,1,3.9,3
Push Notifications,0,0,3
Paid Search > SMS > Paid Search > Videos,1,2.022,2
Paid Search > Paid Search > Email > Paid Search > Affiliate > Videos > Push Notifications > Paid Search > Paid Search > Paid Social > Videos,1,1.95,2
Push Notifications > Email > Paid Social,1,3.9,2
Paid Search > Display > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social,1,10.241,3
Push Notifications > Push Notifications > Push Notifications > Push Notifications > Paid Search > Paid Search > Email > Push Notifications > Push Notifications > Email > Paid Search > Push Notifications > Push Notifications > Push Notifications > Push Notifications > SMS > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications,1,0.552,2
Display > Display > Display > Display > Display > Display > Push Notifications > Paid Search > Paid Search > Paid Search,1,15.84,3
Push Notifications,1,1.627,2
Paid Search > Paid Search > Paid Search > Paid Search,1,1.725,3
Push Notifications > Affiliate > Email,0,0,3
Paid Search > Paid Social > Paid Search > Paid Social > Paid Social > Paid Social > Paid Social,7,34.2993,25
Display > Paid Search > Email > Paid Search > Paid Search > Paid Search > Paid Search > Email > Paid Search > Email > Email > Email > Paid Search > Email > Paid Search > Email > Paid Search > Email,0,0,2
Push Notifications > Push Notifications > Paid Social,0,0,2
Display > Display > Push Notifications > Paid Social,1,2.836,2
Paid Search > Display > Push Notifications > Paid Search > Paid Search,1,3.56,2
Paid Search > Paid Search > Videos,1,2.275,2
Email > Direct Mail > Direct Mail > Direct Mail,1,1.857,2
Push Notifications > Paid Social,0,0,3
Email > Affiliate > Email > Push Notifications > Paid Social > Affiliate > Paid Social,1,2.14,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Internal Campaign > Internal Campaign > Videos > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Internal Campaign,1,6.061,2
Display > Display > Paid Search,1,7.247,2
Videos > Videos > Email > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Search > Paid Social > Push Notifications,1,3.11,2
Push Notifications,1,6.599,2
Push Notifications > Push Notifications,0,0,2
Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications,1,3.86,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Social > Paid Social,4,16.74,13
Internal Campaign > Push Notifications > Display > Push Notifications > Internal Campaign > Push Notifications,1,2.512,3
Push Notifications > Internal Campaign > Internal Campaign,1,3.2,2
Display > Display > Display > Display > Display > Display > Paid Social,1,13.4,2
Push Notifications,2,4.103,6
Push Notifications > Paid Search > Paid Search > Paid Social,1,2.427,2
Direct Mail > Paid Social > Paid Social,1,2.15,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,1.772,2
Videos > Display > Paid Search > Videos > Videos > Videos > Videos > Paid Social > Paid Social,0,0,2
Display > Push Notifications,1,7.812,2
Push Notifications > Push Notifications,1,2.36,2
Paid Search > Paid Search > Paid Search > SMS,1,4.55,5
Email > Push Notifications,1,1.574,2
Push Notifications,2,6.41,6
Display > Display > Push Notifications > Display > Display > Display > Display > Display > Push Notifications > Display > Display > Push Notifications,1,4.838,3
Display > Display > Paid Social > Display > Push Notifications,1,6.524,2
Push Notifications > Push Notifications,1,2.362,2
Paid Search > Push Notifications,1,2.579,3
Paid Social > Paid Social > Email > Email > Email > Email > Paid Social > Paid Social > Paid Social > Paid Social > Push Notifications > Email > Email > Email,1,2.593,2
Paid Search > SMS,1,2.35,3
Display > Display > Display > Display > Display > Paid Search > Display > Paid Search > Paid Social,1,3.331,2
Display > Push Notifications > Display > Display > Push Notifications > Paid Social > Display > Push Notifications,1,3.093,2
Push Notifications > Affiliate,0,0,2
Display > Push Notifications > Display > Push Notifications,1,2.86,2
Email > Push Notifications > Affiliate,0,0,2
Push Notifications > Videos > Display,1,3.536,2
Display > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search,1,3.1,2
Display,1,2.124,3
Display > Display > Display > Paid Social > Display > Display > Display > Display > Display > Display > Display > Paid Search > Paid Search > Display > Display > Push Notifications > Affiliate,1,5.453,3
Paid Search > Paid Social > Videos > Paid Social > Paid Social > Paid Social > Email > Paid Social,1,2.68,3
Paid Search > Display > Email > Paid Search > Paid Search > Affiliate,1,1.2,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Email > Paid Social > Paid Search > Email > SMS > Paid Social > Email,1,2.8,2
Push Notifications,1,1.7,2
Push Notifications > Paid Social > Push Notifications,1,2,3
Push Notifications,0,0,3
Email > Display > Display > Paid Social > Display > Display > Display > Push Notifications > Paid Search > Paid Search,0,0,3
Paid Search > SMS,1,4.423,2
Push Notifications > Paid Social > Paid Social > Push Notifications > Paid Social,1,5.16,2
Email > Email > Internal Campaign > Email > Email > Push Notifications,1,6.284,2
Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications > Push Notifications,1,2.124,3
Display > Display > Paid Social,1,3.35,2
Email > Paid Social > Push Notifications > Paid Social,1,0.437,2
Display > Paid Social > Push Notifications > Display,1,3.501,3
Paid Social > Push Notifications,1,2.315,2
Email > Display > Paid Search > Email,1,4.43,3
Paid Search > Paid Search > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > SMS > Paid Social > Paid Social,1,5.026,3
Display > Paid Social > Videos > Paid Social > Videos > Display > Push Notifications > Videos > Paid Social,1,3.308,3
Push Notifications,1,0.29,2
Push Notifications,3,13.85325,11
Display > Display > Push Notifications,1,2.56,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Display > Push Notifications > Push Notifications,1,3.275,3
Push Notifications > Paid Search > Paid Search > Paid Social > Paid Search > Paid Social > Push Notifications > Display > Display > Paid Search > Paid Search > Paid Search > Display > Display > Display > Display > Display > Display > Display > Display > Paid Search > Display > Push Notifications > Push Notifications,1,4.801,2
Push Notifications > Paid Social > Affiliate > Push Notifications > Paid Social,1,2.285,2
Paid Search > Internal Campaign > Internal Campaign > Direct Mail > Push Notifications > Direct Mail > Paid Search > Internal Campaign,0,0,2
Paid Search > Email > Videos > Paid Social > Push Notifications,1,9.585,3
Push Notifications > Paid Search > Paid Search > Push Notifications > Paid Search > SMS > Paid Search > Push Notifications > Paid Search > Paid Search > Paid Search > Push Notifications > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications > Paid Search > Paid Search > SMS > Push Notifications > Paid Search > Paid Search > Push Notifications > Push Notifications > Push Notifications > Paid Search > Paid Social > Paid Social > Push Notifications > Push Notifications,1,2.275,6
Paid Search > Paid Search > Paid Search > Videos,0,0,3
Affiliate > Paid Social > Videos,2,1.429,5
Paid Search > Display > Display > Display > Paid Search,0,0,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search,1,1.85,3
Paid Search > Display > Paid Search,1,3.748,3
Paid Search > Paid Search > Paid Search > Paid Search,1,8.638,2
Display > Push Notifications > Display > Push Notifications > Push Notifications,1,1.751,2
Email > Push Notifications > Paid Social > Paid Search > Paid Social > Paid Search > Videos > Paid Social > Videos > Direct Mail > Display > Videos > Display > Paid Social > Paid Social,1,3.12,3
Email > Paid Search > Paid Social > Affiliate,1,4.092,2
Email > Push Notifications > Push Notifications,1,3.54,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Search > Paid Search,1,2.5,3
Direct Mail > Paid Social > Paid Social,2,7.706,5
Push Notifications > Paid Search > Paid Social > Email > Push Notifications,1,3.25,2
Paid Search > SMS > Paid Search > Paid Search,0,0,2
Affiliate > Display > Display > Display > Affiliate,1,7.752,2
Paid Search > Display > Display,1,6.796,3
Internal Campaign > Paid Search > Paid Search,1,4.408,2
Paid Search > Email > Paid Search > Paid Search,1,1.725,2
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > SMS > Paid Social,1,6.5,3
Display > Push Notifications > Display > Push Notifications,0,0,3
Display > Paid Social > Push Notifications,1,2.85,2
Paid Search > Paid Social > Email > Videos,1,4.568,2
Push Notifications > Paid Social > Affiliate > Paid Social,1,1.004,2
Paid Search > Videos > Paid Social > Videos,1,4.532,2
Display > Display > Display > SMS > Display > Display > Display > Display > Display > Display > Push Notifications > Display > Display > Display > Push Notifications > Push Notifications > Affiliate > Display > Affiliate,1,15.201,3
Display > Videos > Paid Social > Videos,2,6.942,6
Push Notifications > Videos > Videos > Paid Social > Affiliate > Videos > Paid Social > Videos,1,1.3,3
Paid Search > Display > Display > Push Notifications > Display > Videos > Paid Social > Paid Social > Paid Search,1,12.691,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,3.6,2
Display > Email > Push Notifications > Paid Search > Paid Search > Paid Social,1,7.212,3
Paid Search > Paid Search > Email > Push Notifications > Push Notifications,1,0.868,2
Paid Search > Push Notifications > Push Notifications > Paid Search > Paid Search > Paid Search > Paid Social > Display > Paid Social > Paid Social > Paid Social > Paid Search > Paid Search > Paid Social,0,0,2
Push Notifications,16,28.0816,55
Paid Search > Paid Search > Push Notifications > Paid Social > Paid Social > Push Notifications,0,0,2
Paid Social > Paid Social > Direct Mail > Paid Social > Affiliate > Affiliate > SMS > SMS > Paid Social > SMS > Paid Social,1,1.74,3
Affiliate > Display,1,2.893,3
Display > Email > Display > Display > Display > Display > Paid Social > Email > Display > Push Notifications > Display > Affiliate > Display > Email > Affiliate,1,2.75,3
Paid Search > Paid Search > Display > Push Notifications,1,2.979,3
Email > Display > Email > Display > Email,0,0,3
Push Notifications > Display > Push Notifications > Push Notifications,1,11.692,2
Display > Push Notifications > Display > Paid Social > Display > Push Notifications > Email > Display,1,10.28,3
Direct Mail > Direct Mail,1,2.05,2
Display > Display > Display > Paid Social > Paid Social > Email,1,4.2,3
Paid Search > Paid Search > Paid Search,1,3.34,3
Push Notifications > Paid Social,1,3.995,3
Videos > Paid Search > Videos > Videos,1,2.6765,5
SMS > Paid Search > SMS > Paid Social,1,3.973,3
Push Notifications,2,2.394,5
Push Notifications > Push Notifications,1,1.588,2
Paid Search > Paid Search > Paid Search > Email > Paid Search > Videos,0,0,3
Internal Campaign > Paid Social > Paid Social > Paid Social,1,4.015,3
Display > Display,1,11.085,2
Internal Campaign > Paid Social > Internal Campaign,1,8.716,3
Push Notifications > Paid Search,1,2.389,3
Display > Push Notifications,1,0.468,2
Push Notifications,1,0.91,3
Paid Search > Paid Search > Paid Search > Display > Display > Display > Display,1,5.622,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications > Paid Search > Paid Search > Display > SMS > Email > Display > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,2.265,3
Paid Search > Display > Paid Social > Paid Search,0,0,3
Display > Display > Display > Display > Display > Paid Social > Push Notifications > Videos,1,2.165,3
Push Notifications > Paid Social > Push Notifications,1,3.45,2
Paid Search > Paid Search > Affiliate > Affiliate > Paid Search > Paid Search,1,1.9,2
Display > Paid Search,0,0,2
Paid Search > Paid Search > Paid Search > Videos,1,3.9,2
Paid Search > Paid Search > Display > Paid Search > Push Notifications > Paid Search > Display,1,0.717,2
Display > Paid Search > Paid Search,0,0,2
Push Notifications > Push Notifications,2,5.209333333,7
Display > Paid Search > Display > Display > Display > Paid Search > Display > Push Notifications,1,7.994,3
Paid Social > Paid Social > Paid Social > Paid Social > Paid Search > SMS > SMS > Paid Social > Paid Social > Paid Social > Paid Social > SMS > Paid Social > Paid Social > Paid Social,1,2.867,2
Display > Push Notifications > Paid Search,0,0,3
Push Notifications > Push Notifications,2,6.3,5
Push Notifications > Push Notifications,1,3.458,3
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications > Paid Social > Affiliate > Paid Search > Push Notifications > Paid Social,1,1.971,2
Paid Search > Paid Search > Affiliate > Videos > Videos > Paid Search,0,0,3
Paid Search > Email > Paid Social > Display,0,0,2
Email > Paid Social > Email > Paid Social > Email > Push Notifications > Push Notifications > Paid Social > Email,0,0,2
Paid Search > Paid Search > Paid Social > Affiliate > Affiliate,2,4.818,5
Display > Display > Display > Display > Paid Search > Display > Push Notifications,1,1.24,2
Push Notifications > Push Notifications > Push Notifications > Push Notifications,1,8.302,3
Paid Search > Email > Paid Search > Push Notifications > Paid Search,0,0,3
Push Notifications > Videos > Paid Search > Videos > Videos > Videos > Push Notifications,0,0,2
Email > Paid Social > Videos > Paid Social > Videos > Paid Social > Videos > Videos > Paid Social > Videos > Videos > Videos > Videos,1,2.32,3
Display > Display > Display > Paid Social > Push Notifications > Display > Push Notifications > Display > Push Notifications,1,2.71,3
Push Notifications > Internal Campaign > Email > Display > Paid Social,1,1.28,2
Paid Search > Push Notifications > Push Notifications,1,7.2,3
Display > Push Notifications > Videos > Display > Push Notifications,1,9.454,2
Email > Paid Social > Paid Social > SMS > Videos,1,5.51,2
Push Notifications > Paid Social,1,2.416,6
Paid Search > Paid Social > Paid Search > Display > Paid Search,1,2.663,2
Paid Search > Paid Search > SMS > Email,1,6.446,3
Push Notifications > Display > Paid Search > Paid Search,1,3.828,2
Push Notifications > Push Notifications,3,7.312,7
Paid Search > SMS > Push Notifications,0,0,3
Push Notifications,1,17.289,2
Display > Paid Social > Email,0,0,2
Display > Paid Search > Paid Social > Paid Social,0,0,3
Display > Paid Social > Push Notifications,1,3.443,2
Display > Push Notifications,1,3.936,3
Paid Search > Push Notifications > Affiliate,1,2.3,3
Paid Search > Push Notifications > Affiliate,1,1.5,3
Display,1,3.1,2
Push Notifications > Direct Mail > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications > Push Notifications > SMS > Push Notifications,0,0,3
Paid Search > SMS > SMS > Push Notifications > Display > Push Notifications,1,2.357,2
Push Notifications > Paid Search > Email > Affiliate > Paid Social > Paid Social > Paid Social > Paid Social,1,4.464,3
Paid Social > Display > Affiliate > Display > Affiliate,0,0,3
Push Notifications > Push Notifications > Push Notifications,1,8.324,3
Push Notifications,1,5.796,3
